Have you been furloughed?,"Overall, are you finding being furloughed a positive experience?","That's great to hear, can you tell me why you're enjoying it?","Are you now working as part of a scaled back team, whilst your colleagues are furloughed?","Overall, are you finding being part of scaled-back, caretaker team a positive experience?","I'm sorry to hear that, can you tell me why it's not a positive experience?",Have you learned anything new about yourself?,What would help you most right now?,"That's really good to hear, why do you think that is?",Submitted At,Token
TRUE,TRUE,Having a little bit of downtime.  I am sure this will wear off after . a while though,,,,That I get cabin fever quite easily.  And that my cooking is not as terrible as I thought!,,,4/6/2020 9:16:15,1ule079ego2c2gq51ule0781rjqii7ba
FALSE,,,TRUE,TRUE,,,,"The members of the Multi Channel Team that are in (10 of us, rather than around 30) are working closely together and doing group calls regularly to stay in touch. We are good at being self sufficient and supporting one another but Ricky Dore is also doing a great job keeping us in the loop with changes etc.",4/6/2020 9:39:03,srbj2kw8fw3ch6u0srbj2bv1gm7acqcd
FALSE,,,TRUE,TRUE,,,,Everyone working well together and now everything is centralised its easier to focus on the top priorities.,4/6/2020 9:58:00,oi60l1bosyhyhkcucu6oi60lzd5oz21u
TRUE,TRUE,"I would say my feelings are mixed about furloughing as there are some positive and negative aspects for me. On the negative side, I am feeling a bit frustrated about not being able to continue with the projects I was working on before furlough and am missing the team too. I am very lucky to work in a job that I love so I am missing that a lot. On the plus side, I am enjoying have a lot more time with my children which I don't usually have. We are all very busy with work and for the kids, school work and activities, and we have now found that we have been able to slow down and are really enjoying our time together. I have also found more time to work on my side projects such as blog writing and building my website to help others learn data science. I am also feeling much healthier having more time for exercise and to cook very nutritious meals.",,,,I have learned that I tend to fill my time too much and leave very little room for relaxed leisure time.,,,4/6/2020 11:09:21,06k1qp3fxhcppjf4rvq06k1e3crwf8ii
FALSE,,,TRUE,TRUE,,,,Working with a team member who has the opposite skills set yet the same thought process makes it quite straight forward to get tasks done in an efficient way.,4/6/2020 12:58:34,i10kxbekzt4e5i10c91qa6wur15c2vle
TRUE,FALSE,,,,Unsettled. Knowing there are people and work and you are not needed. Keeping an eye on things from a distance means you don’t relax.,,Can’t think of anything anyone can do to help!,,4/6/2020 13:50:25,ol61crh8x6vlp8ol61cl8jedy6we0lnc
TRUE,TRUE,"It's more that I've decided to make the most of it and so I'm playing board games with my kids, doing regular exercise, reading, baking etc.  Prior to that I was worrying about my colleagues, feeling guilty for 'being off', worried about long term future etc and it was a downward spiral that was making my family anxious too.  So together we agreed not to worry about screen time or anything like that (was causing arguments) as long as we spend at least an hour together every evening, not including dinner which we are also ensuring we do together, in the dining room, no phones or other distractions.",,,,"I thought I always had to be busy - if I sat down for too long I felt guilty, now I realise if I'm not 'busy' all the time I'm not a bad person, I'm not setting my kids a bad example, the world WILL keep turning and actually I deserve it.",,,4/6/2020 14:18:44,wd6x41ssmnl1o9d0dxwd6x475okmz0i9
TRUE,TRUE,"Time spent with family, getting jobs done around the house, slight mental break from being a fulltime working parent",,,,I have more patience with the kids than I usually do when working full time so need to bring that in when things get back to normal,,,4/6/2020 15:23:47,lxl5hkdsov3qlsitm3qanlxl55w06qqn
TRUE,TRUE,Having the extra time with family plus time to invest extra time in my learning,,,,I tend to do better when I have a routine.,,,4/6/2020 16:14:40,nn1qg6cb4r4ronvy4ynn1ql1ef7v99ta
TRUE,TRUE,initially I felt quite upset at prospect as would be cut off from my role..but I quickly adjusted and now viewing it as a positive opportunity. Its given me time to pause..time for family..time for creativity that I would never normally have. it's made me realise how much of my life is dominated by work. I'm looking forward to self develop too though through some online courses.,,,,not really..I'm generally very positive anyway and adapt well,,,4/6/2020 16:40:46,01emla01d2019febfomx4gxfaucbh36f
TRUE,TRUE,Time with my children and partner that I otherwise wouldn't have got to spend with them,,,,"That I need to chill out, stop sweating the small stuff and embrace the chaos",,,4/7/2020 6:17:17,ehr14z5rnfic8rehr14fl654y1n7z10f
TRUE,TRUE,"In these tough times it is very comforting to know I still have a steady income. It significantly reduces the negative impact of coronavirus. Furthermore, I am taking the time to finish writing a book I have been working on for a while, which I'm really enjoying.",,,,I am very much a grin and bear it person! I also need a semblance of routine to stay happy.,,,4/7/2020 12:38:44,opglu0bc95o4e7r66u50opgwfwfblzqi
TRUE,TRUE,"Time to spend with my kids ( although they do my head in at times!), time to get jobs done around the house and garden because we usually spend weekends as family time, and time to reflect and think without the pressure and stress i usually put on myself about work.",,,,"I need to stop worrying so much about work, and I’m starting to realise that I need to let mum guilt go, it’s good for my younger one to have time in a childminder environment",,,4/7/2020 15:00:29,k7j4kpwpl9uwx2c1k7j4knt4xi4rres4
TRUE,TRUE,Nice to have a significant block of time to spend on side projects that would otherwise be squeezed into evenings and weekends.,,,,I'm an introvert but I miss my work friends and the structure that work brings.,,,4/7/2020 20:12:50,qjtvatq847cqjtti6vurguezr4jeqwti
TRUE,FALSE,,,,"I have worked since my 16th birthday and I’m turning 40 this year and have never had more than 2 weeks off. Relaxing is not something I do and although I have filled time with volunteering there’s lots of free time. As a sufferer of anxiety free time equals time to think. All I think about is redundancy, I am a higher earner vs most and although I believe I am an asset I can also be seen as a decent cost saving. All I want it to be contributing to the team and not sitting on the sidelines, not knowing is one of the hardest things.",,"It is all Unknown and what I want is clarity and job security, two things that can not be given. I am hoping for more charity work to keep me and my mind busy.",,4/7/2020 20:45:18,ksq4pizj1wup45mksq4pcelw8cjwj8c4
FALSE,,,TRUE,TRUE,,,,We are a tight knit team so we see our work as vital to support our business ready to welcome back our furloughed colleagues but we also see their self-sacrifice in accepting furlough equally as important,4/7/2020 21:43:37,fgmnurdqr9gsc6cn4fgmnurd26hzd39z
TRUE,TRUE,Read around a subject called “pattern interrupt”. Basically using it to form new habits that are positive for me post Corona.,,,,I really cared about my employment to define me. I was on auto pilot putting my job first without question. I didn’t appreciate how valued I was by others,,,4/7/2020 21:49:37,nhxrwsimc9sq36e2mnhxrwpm6ghc6bmo
TRUE,TRUE,Time to breathe. Time to fix some mental and physical health issues that have been bothering me. Time to enjoy my other passions and hobbies,,,,"I’ve suffered badly over past few years with anxiety, spent a lot of time worrying about worst case scenarios. This is pretty high up there on worst case scenarios but I’m surviving. So what else do I not need to fear.",,,4/7/2020 23:08:36,r6o42q5yvm2hisvvhbr6o420s4mc0bpx
TRUE,FALSE,,,,The day to day is okay but being trapped inside is frustrating. There are a lot of good things I have time for now which is great. If I knew for sure when things would end and if our jobs would be safe I could be less anxious and enjoy it slightly more.,,Probably speaking to a therapist honestly.,,4/7/2020 23:09:42,osq92kzlycxk3uaob8tjfosqk76ip8ki
TRUE,TRUE,"I wouldn’t say, I’m enjoying it; I think the question asked if I was finding it a positive experience. I’m finding it a positive experience because I’m staying close to my team, I’m getting fitter, I’m practicing skills I otherwise neglect (like languages and music) and I’m being mindful.",,,,"I’ve learned that I want to ride the storm with my employer rather than jump ship - I think that’s because I really like the people, culture and product.",,,4/8/2020 5:32:22,zoj6f0klt3c83ewjckmaf4zoj6sin883
FALSE,,,TRUE,FALSE,"Very long hours, high stress. Probably better for my mental health to be ignorant of the commercial reality",,A very high level view of possible exit plans from government. Too many unknown unknowns right now. Will help business give an idea to our teams of what this might look like in months ahead.,,4/8/2020 7:01:53,6edwce9vmiugi3mocwg73u6edwceuv05
TRUE,TRUE,Takes pressure off while the children are off school. I can focus on their well being more. At a time when the world is in such huge upheaval I was finding it hard to focus on work.,,,,I can stay indoors longer than I thought I could (after just finishing a 2 week self isolation period!). Usually I get cabin fever and can only stay in the house for a day before I need to go out somewhere!,,,4/8/2020 7:08:13,jb2uiocrjxgk3jb7tx7fdadsyopss77t
FALSE,,,TRUE,FALSE,I thrive on face-to-face interaction which I miss enormously. Technology is great but doesn't replace sitting with those you care about. I do enjoy the fact that I am able to be front-line helping people across our business during  this time and helping give them some comfort.,,We're all in the same boat - it's a case of waiting things out.,,4/8/2020 7:14:04,4um0vhl5jj1mv14um0wsi7339fzbkws9
TRUE,FALSE,,,,I've struggled with my mental health as a result of having more time to think.,,Social interaction in whatever form it comes in and a project to work on (having a small child makes it hard to do either of the above to the right scale for my mental health),,4/8/2020 7:24:33,d31i989tktupf5nyw58ld31i9n1qsdsx
TRUE,TRUE,"From a working perspective, being furloughed is great because it alleviates some concerns for the next few months, knowing that it is helping to put the business in a strong position for when this crisis passes, while still being paid almost a full salary. From a personal perspective, I'm finding it a bit tougher.",,,,That I'm not very good at being completely unstructured!,,,4/8/2020 7:59:20,csk4pxmz1h43h0rktqc5csk4pxr8lwh1
TRUE,TRUE,"Redecorating the house, homeschooling the kids, cooking together, everything is just bringing the family closer together",,,,"I’m not as strong as I think and if the head of the house was measured on strength, then the kids are in charge!",,,4/8/2020 8:22:36,yklxgjomehlz7tus8gzyklhsm15hg743
FALSE,,,TRUE,FALSE,"As there is so much work to do it's been a very draining experience, and I also think it's going to cause rifts in the team when we do eventually get back to normality as over half the team have been furloughed.",,Nothing really can be done we just need to get on with it. :(,,4/8/2020 8:29:58,d7d72b2csx70m0b3d7d72x0rnkk182xr
TRUE,TRUE,Taking advantage of the down time to be productive and appreciate the home we work hard for,,,,"That although I have plenty of tasks, I struggle more than I thought without structure",,,4/8/2020 8:31:33,u8go26trhejw9gngielu8gokdoib0fk0
TRUE,TRUE,When would you ever get the chance to take time out and still be paid.  I’m working through a list of jobs that have been driving me crazy for months/years.  Enjoying being outside in the garden and spending time with my family,,,,I’ve always quite enjoyed my own company.  But feel I make a plan for the day so I still have routine.  Learning to be more patient in the current circumstances to,,,4/8/2020 8:41:25,0qwaauwwousmf8ypp0qwa7zn0j9a9i77
FALSE,,,TRUE,TRUE,,,,I still have work-related things to focus my time on.,4/8/2020 8:49:01,y3wtlfdk4ks7aymbry3wwge0u674ok4u
TRUE,TRUE,I am spending time on my personal development. I am also spending more time cooking and working out at home.,,,,"I'm surprised I'm still happy being stuck at home for so long, if these were normal times I would be pushing to get out and about and get fresh air.",,,4/8/2020 8:49:23,eo0dhscg5p46w5gj2axxzeo0dh638ajp
FALSE,,,TRUE,TRUE,,,,It’s nice to be essential,4/8/2020 8:51:35,pne44xonv1qvp7pqhuwpneqha33yocrj
TRUE,TRUE,"Enjoying quality time with my son, being able to slow down and do things that I never have time for.",,,,No,,,4/8/2020 8:53:22,eoqr9amxe5xotuzxhgeoqa8qa5mlmjj5
TRUE,FALSE,,,,There are many positives especially spending more time with a young family but also feels there is time to make a positive impact to the business that might be missed.,,"A crystal ball :-)

I could relax a lot more if I knew that business would return to normal 'x' months after restrictions start to lift. Everyone is in the same boat but the worry is the financial support for workers will end before normality returns",,4/8/2020 8:56:28,hkw98m325fek6hte28hkw98m324k4hws
FALSE,,,FALSE,,,,,,4/8/2020 9:17:01,8zvceynp7mbxbj9408oue8zvceygpobh
TRUE,TRUE,Spending the with my family and taking time to complete projects around the house. Also taking time to cook from scratch and do exercise. Just getting my life back after a long time of intensive work.,,,,Not really,,,4/8/2020 9:43:00,spdse9wkvrgqzr67spdsedwfnuhs29o3
TRUE,TRUE,It's given me some time to improve my skill to help the business when I return,,,,I enjoy working and enjoy coding,,,4/8/2020 9:52:55,2kiyoegdkjr96alu2kizze0ahxcke8qf
TRUE,FALSE,,,,Loss of drive after being rejected,,"Not having a toddler, not feeling constantly guilty, being able to contribute",,4/8/2020 10:10:36,kwev5nlp8ddolprgn26v5ykwev5nkum5
FALSE,,,TRUE,FALSE,"Knowing that my employer cannot sustain and on top of farlough they cannot contribute any sum from their side to provide extra financial support, which could be of a great help than just being on minimum pay",,Stay positive and keep the lights on,,4/8/2020 10:22:14,1l2ffgvxy60e851l2fzpcs0724z08w1h
TRUE,TRUE,I now have time to start and complete all the jobs that I previously didn’t have time for but were looming over me. Once the jobs are done there will be a bit less stress when I go back to work,,,,That I need a mixture of time to myself and time being social. The ratio between the two changes from time to time but I definitely need both in my life,,,4/8/2020 10:26:43,abmkows2vbnxittabmkowsballpfoko4
FALSE,,,TRUE,FALSE,It feels that the HMRC rules create unfairness and separatism at an extreme between those that work and those that are furloughed.  It seems the rules are based on a cynical attempt to prevent businesses operating fraudulently rather than what the human beings need in terms of purposefulness and the social side of work.,,"To allow those that are furloughed to work on innovation, creative projects that can help create a better future",,4/8/2020 10:46:33,tct6qc6zvrbfockmxpquitct6qc6fmjb
TRUE,TRUE,It gives me a chance to do things I’ve never had enough time for when working full time,,,,I’ve learnt that I like to be busy and have a sense of purpose on a day to day basis. It has made me realise how much I miss being surrounded by people and working with people I wouldn’t usually be around,,,4/8/2020 11:49:50,101uxqvtlp6muxa2s4101uxqvt7m33z2
TRUE,TRUE,Because I am enjoying the benefits if the lovely weather and spending time with my little boy.,,,,I eat a lot of snacks !! I enjoy doing daily exercise outdoors.,,,4/8/2020 11:51:03,8brrpmeuurb63sm48brrxd7jvoavlkwl
FALSE,,,FALSE,,,,,,4/8/2020 11:51:36,odw5k4fhrq7vlqw8tlodw5kxhasfybk0
TRUE,TRUE,I don't have the anxiety and stress about making sure I'm doing enough hours and having the mental capacity of working whilst balancing full time childcare of a 2 year old.,,,,"I need hobbies! Need to be better at entertaining myself e.g. sewing, exercise etc",,,4/8/2020 12:13:21,q81ledqsr3cdxoz9q81lj2unj0zjuj16
TRUE,TRUE,"Its put life in perspective, its always rush rush, its great taking the time to do odd jobs and enjoy the sunshine.",,,,I like sitting in a quiet room not having to talk to anyone...,,,4/8/2020 12:15:38,51cwpgb07oahtom1r51cwpngcnpata00
TRUE,TRUE,I’ve been able to give our children my full attention and help guide them through this worrying time.,,,,"Yes, I’ve learnt our family unit is very comfortable together 24/7. 
I have learnt I’m content in my own skin and that I have missed the time to read, watch and listen to those around me.
I have recognised the news effects me in a negative way by making me feel anxious and angry so have taken measures to restrict the amount of time  I attend to it.",,,4/8/2020 12:19:15,ddcfjkv7pmfxkyddcfxjx8hnujirr51x
FALSE,,,TRUE,TRUE,,,,"Sharp focus, hand picked team. Cuts out the noise",4/8/2020 14:25:57,h70x8g8x106nlxlh702lb0onfttnuwbc
TRUE,TRUE,"Able to do things I normally don't have time to do; catching up jobs around the house but also learning French, reading books, enjoying my garden.",,,,Probably nothing I don't already know - I enjoy isolation and my own company. I find it hard to let go completely of work. I find it very hard to sit and do nothing.,,,4/8/2020 14:45:40,qm4thhq279wjblm5xph53pbqm4thhczd
TRUE,TRUE,"It’s not that I’m enjoying it, it’s because I feel safer at home. I’ve been able to do some jobs at home that have not had time for.",,,,"I miss structure and the daily work routine, my body clock all over the place, I miss brain work and being busy. I have no will power with food being so available. I can’t focus when trying to learn a new skill.",,,4/8/2020 15:38:32,6fqmhch47134sk00c6fqmhik5uo5pgzf
FALSE,,,TRUE,TRUE,,,,Getting a chance to work directly with people at all levels of the business rather going through layers of management.  Quick decision making.,4/8/2020 16:37:23,kjb8y4gdlu8logklhs3pkjb8qd3vbhe6
FALSE,,,TRUE,FALSE,"Loss of colleagues - different dynamic - all working from home full time - new relationships to build online - much busier ... when it’s all said and done it’s much better than than the alternative that may, could have been.",,Lottery win! Nothing really we are all in it together everyone is going through this - there is no wrong or right way. It’s a brand new way of being!,,4/8/2020 17:11:49,97chozzbihwuvor97cho6m36p874emf9
FALSE,,,FALSE,,,,,,4/8/2020 17:52:47,7qf3d9kjbmvh4gydj7qf3d92vdo5ar2d
FALSE,,,TRUE,TRUE,,,,"Still have a sense of purpose and a need to keep the operation running, especially during this time.",4/8/2020 18:09:19,c4z0ja8ef4lqq02rh5hrxc4z0jl5g764
TRUE,FALSE,,,,"Loss of progression, was due a promotion in April, and pay (only on 80%}",,Job security,,4/8/2020 19:27:38,vb9qmj4zj0wdd9hvb9qgfkbf5r2t83qy
TRUE,FALSE,,,,As a selected member of the team along with 3 others from a team of 8 I can’t help but wonder if I was selected as I am only a year in with the employer so will be easier and cheaper for the organisation to be made redundant with once government furlough payments are no longer available to my employer,,Honest communication from my line manager,,4/8/2020 19:28:25,ym619yhp7x7ay2y78is1yym619cs5h7i
TRUE,FALSE,,,,Need something to do. Lack of work is driving me insane. Need mental stimulation. Also don't enjoy being home all day with kids. Long to get back to normal.,,Finding something to fill the work gap.,,4/8/2020 19:44:06,7f1eidjoo638fmtmtr7p7f1e38nt53cc
FALSE,,,TRUE,FALSE,"Because there is 10x more work than people, and I'm not superhuman. The pressure to do well is insane.",,More people.,,4/8/2020 22:01:55,4jeolx5g6n9xhyju7ve4jeo5y8jpw5cv
TRUE,TRUE,"I completely trust my company in doing the best and the right thing. I know there is an end point (hopefully). 
In my 33 year travel career I have never been gifted an opportunity to have “time away” so I’m looking at it as a positive and filling that time with everything I’ve wanted to do. From household jobs to new skills and study. I’ve enrolled with Open University to take their free courses, I’m learning how to code, which is totally alien to me but wanted to push my boundaries and do something opposite to who I am. I’m
Grateful for the “reset” and back to basics and nature. Walking with the dog and being at home has been a wonderful experience so far.",,,,That I’m ok being alone in the human sense and I want for nothing as I have abundance,,,4/9/2020 6:37:43,fy2u65hczmd1cf7fy2u6eil27n4scdrz
TRUE,TRUE,I feel positive because I feel lucky to have not lost my job. I'm finding coping mentally hard without work...it would be a better time if I still had work to fill my day (WFH),,,,No,,,4/9/2020 8:29:27,pl4razqhhtdxdwlz5si29b7pl4razq0p
FALSE,,,FALSE,,,,,,4/9/2020 9:43:30,xx8r58n0praau199f38og0xx8r5zbbsy
TRUE,TRUE,"I have more time for self-development which I often don't have when working. I'm doing things I don't usually have time for like gardening, reading, cooking & doing washing! I'm appreciating the world and the people around me more.",,,,Given the uncertainty around the world and around jobs right now I would expect to be feeling more concerned or anxious than I am. This may come later as things change but right now I'm seeing this as an opportunity to step back and slow down.,,,4/9/2020 13:51:05,e9i131n0jb3oove920qpg5p709c3ozco
TRUE,FALSE,,,,"I miss working, I love working for HX and love my job so much, it feels like my purpose has been interupted, its not overall a negative experience and keeping in touch with the teams is helping by doing quizes and fun activities remotely but it has made me realise how much i strive to achieve when at work and im trying to put that attitude to good use at home, its just a bit early on in the process",,"more remote connections, book clubs, podcast meet ups, netflix parties, games, quizes, anything to look forward to and keep my mind occupied",,4/9/2020 17:41:54,37ezp9l8fco7q049g637ezp9l1nil7h0
FALSE,,,TRUE,TRUE,,,,"I feel appreciative to be perceived as a vital part of the team and by working I feel like I still add value and have a sense of purpose. I‘m sure I would find positives if I was furloughed too as I have planned on learning some new things during this time which have interested me (e.g a few weeks back I bought a book to learn how to code). It’s great to continue having some form of a routine by working and it breaks the days up so I’m always keeping my mind occupied. I’m also feeling very thankful for my team, we all still communicate on a personal level every day and even have virtual group chats to check in on each other and a quiz night each week hosted in turns (online of course!). As much as this has turned normal life completely upside down, I’m missing my family like you wouldn’t believe and I worry for them all.. I’d like to see this experience as an opportunity. If you’re working you have an opportunity to make a difference, to provide support wherever needed and be part of something special. If you’re furloughed you have an opportunity to learn something new, take the time to do something you’ve been putting off, or make precious memories with your family. Either way it’s time we won’t get back so I plan on spending it wisely!",4/9/2020 18:17:02,6y1vky8sqbltlzo3slc56y1vkepkhkq3
TRUE,TRUE,.,,,,.,,,4/9/2020 19:46:41,c39uhob0iuk55evuhjbs2c39usk7mxbq
FALSE,,,FALSE,,,,,,4/10/2020 7:58:12,b5i7vyxwbqmifuriggsvfb5i7vyklilw
FALSE,,,FALSE,,,,,,4/10/2020 8:05:20,286ova748omayoo3l3rm12286ovabm3t
FALSE,,,TRUE,TRUE,,,,"Laser focus, good communication",4/10/2020 8:03:44,3k4ubu60gi46g2h3k4up67um4pn33ya6
FALSE,,,TRUE,FALSE,Why would it be ?,,The arrival of benevolent aliens,,4/10/2020 8:17:22,3l4jhh3mu9tkb9opl3l4jhyes4ro2vbo
FALSE,,,TRUE,TRUE,,,,There is a camaraderie with those working albeit remotely to get through this for the good of all.  We are involving the furloughed in our team as much as we can at the same time,4/10/2020 8:18:52,b0u50wmr0gl51dw1p0nwb0u50wcb24yn
TRUE,TRUE,I get to spend more time with my family,,,,Nothing yet. Only a week on though.,,,4/10/2020 8:35:23,lx6omb6cyryh6h2klx6n9ou3cqsrufxn
TRUE,FALSE,,,,"Keeping busy is really challenging, whilst also living alone. It’s proving difficult mentally and finically.",,"Work would be ideal, something to keep busy during the week",,4/10/2020 8:45:51,vwhsd2cji4ol7nfvwhsd2tqcblxhrfaz
FALSE,,,TRUE,TRUE,,,,Some sort of routine and the feeling of being able to help,4/10/2020 8:49:56,djxyra3d44hczmdjxcxt4l8zuqt3drfb
TRUE,TRUE,Getting items done that I wouldn’t normally and also knowing that it is helping the company I work for,,,,I can live without work - something I thought I couldn’t before,,,4/10/2020 9:03:23,szmugyoqcgmvnz0301yszmug0lq1vdxm
TRUE,FALSE,,,,"I enjoy working and feeling like I’m adding value/ making a difference. Without that I’m struggling to be motivated to do anything at home, despite knowing that it’s a great opportunity to learn something new.",,I’ve found a second job but currently I’m still learning so feeling like more of a hinderance at the moment! I’m hoping that when I’m got to grips with that I’ll feel better for adding value again.,,4/10/2020 9:09:22,tbshhtgnic06g4otbshht8ffevmxjxjz
FALSE,,,TRUE,TRUE,,,,Messages of thanks and support from top team,4/10/2020 9:49:10,7o3iukam3afphjyf6s7o3sm77f7u2a2v
TRUE,FALSE,,,,As directors of our own company and all business having dried up you feel powerless to meet company financial demands without an incoming revenue stream.,,The grant offered by the government is only availa me for business rate payers. This does not help home office set ups. It would be good of this could be addressed somehow.,,4/10/2020 11:06:39,uhvtid9wi7idrcncz2knk7uhvtnsv98w
FALSE,,,FALSE,,,,,,4/10/2020 11:23:14,b6jrc6jzpgigdm3z3vk7bb6jrhqejglo
FALSE,,,FALSE,,,,,,4/10/2020 11:52:29,og19ysmclee3xwtss4og19yn9v086tvi
TRUE,TRUE,Getting paid most of my wage and being at home safe looking after my daughter,,,,How important spending time with my daughter is,,,4/10/2020 18:05:46,f2028q7mtojak5nt6f2028qo4l2me4cx
FALSE,,,FALSE,,,,,,4/10/2020 19:02:26,5q9vqiq3mtkax67z5q9v07zu32daxbay
TRUE,TRUE,Feel grateful that I have a boss willing to pay me and I’ll have a job to go back to and spending time with my family doing things at home.,,,,I love going to work and having a routine,,,4/10/2020 19:04:04,lq757217sa48a5wt1xulq7w6la7vv2x0
TRUE,TRUE,Time to do other jobs,,,,Yes I can adapt to change and learn from it,,,4/10/2020 19:13:09,lz5w1teu9rxdbm7wx0l8lz50ohthxn74
